Id Empleado;Nombre;Domicilio;Id Localidad;Id Provincia;Telefono;Puesto;CumpleaÃ±os;Fecha de Ingreso
38;Emmy Say;5310 Buena Vista Avenue;1;24;(418) 6245779;Ventas;1993-10-25;2001-12-10
39;Alden Fry;526 Thompson Parkway;42;25;(160) 2200351;Caja;1953-03-05;1992-06-20
40;Rodi Downgate;3105 Westend Street;22;26;(811) 4018087;Caja;1957-05-22;2008-09-26
41;Cary Steptowe;270 Village Center;47;6;(748) 8385872;Post Venta;1976-11-08;2015-06-07
42;Hynda Isakovic;1 Buhler Center;36;22;(538) 5927882;Maestranza;2000-01-20;2020-04-28
43;Elka Tether;200 Vahlen Lane;34;8;(402) 1818257;Depósito;2003-01-02;2015-07-11
44;Sibby Ksandra;0121 Emmet Alley;31;11;(999) 9641423;Administración;1959-04-13;2019-04-15
45;Floris Grealish;525 Paget Hill;93;26;(185) 7686753;Recepción;1986-04-19;2003-04-11
46;Kelby Beadle;723 Main Park;28;18;(333) 5927710;Atención al Cliente;1991-10-29;1998-07-05
47;Margret McCritichie;403 North Court;86;12;(604) 5930735;Ventas;1974-08-09;1990-07-09
48;Blakelee Filde;7 Transport Crossing;9;11;(342) 6853457;Ventas;1995-01-07;2015-11-14
49;Harlene Barkworth;572 Paget Terrace;86;15;(104) 6438538;Ventas;1974-05-14;2004-01-23
50;Lorita Bengochea;1398 Stuart Center;91;13;(168) 1852033;Caja;1977-12-19;2016-09-08
51;Patrizius Leggin;60 West Hill;78;5;(890) 4548947;Caja;1981-05-20;2020-11-28
52;Cherey Bedford;09 Melody Alley;64;4;(430) 3342537;Post Venta;1950-01-06;1995-03-19
53;Claudian Rogge;9 Hermina Trail;16;17;(628) 3656142;Maestranza;1972-04-11;2009-04-26
54;Reginald Andrick;0 Main Crossing;33;3;(847) 8339020;Depósito;1993-07-15;2019-06-20
55;Megan Leal;3 Daystar Park;3;25;(517) 3725346;Administración;1983-10-12;1992-02-10
56;Sofie Shackesby;71 Hansons Pass;3;24;(959) 4926664;Recepción;1984-10-01;1992-08-20
57;Tiena Danton;85604 Northland Circle;95;4;(695) 9974641;Atención al Cliente;1974-04-03;2023-04-29
58;Shelley Telford;28 Miller Junction;5;24;(696) 5096093;Ventas;1987-12-02;1993-11-02
59;Anderson Renfree;736 Carey Street;8;16;(663) 9761985;Ventas;1960-12-02;2019-01-08
60;Sherman Thome;56 Cascade Pass;51;3;(263) 5083960;Ventas;1965-01-06;1994-08-20
61;Minne Pairpoint;83 Knutson Terrace;90;22;(851) 3512515;Caja;1960-11-27;2014-10-16
62;Omar Piggot;11 Old Gate Point;92;25;(748) 1541385;Caja;1953-11-02;1991-12-09
63;Celestyn Truggian;2509 Oakridge Street;41;22;(934) 8994902;Post Venta;1960-01-27;2003-01-29
64;Maxwell Libreros;268 Fair Oaks Junction;6;18;(187) 8183799;Maestranza;1978-04-15;2004-02-14
65;Ashlie Preator;7 Prairieview Hill;20;21;(602) 3367646;Depósito;1993-12-08;2022-12-19
66;Gavan Lampard;10 Swallow Parkway;22;7;(912) 5831650;Administración;1973-11-11;2003-02-09
67;Welch Wank;294 Badeau Trail;29;12;(607) 8517966;Recepción;1965-08-12;2003-05-20
68;Inez Isles;2568 Harper Pass;20;18;(213) 3205819;Atención al Cliente;1973-01-25;1993-04-14
69;Frieda Grimsley;2 Annamark Avenue;42;8;(848) 2787809;Ventas;1982-10-08;2010-07-06
70;Sheila-kathryn Jevons;85 Everett Park;45;14;(534) 4931322;Ventas;1956-11-23;1995-07-31
71;Gwenore McLennan;952 Monica Street;63;8;(469) 6918304;Ventas;1953-08-29;2010-08-08
72;Kermy Beric;74 Fordem Drive;20;17;(983) 6058086;Caja;1996-01-23;2010-10-01
73;Brenden Lente;75 Stone Corner Junction;18;5;(219) 8084303;Caja;1959-12-09;2011-04-13
74;Francklyn Gittings;41102 Pawling Crossing;32;25;(130) 2594810;Post Venta;1961-05-29;2023-05-24
75;Lucila Gadd;36035 Lukken Park;66;9;(606) 8109484;Maestranza;1987-10-29;2015-04-27
76;Mehetabel Oxberry;864 Tony Crossing;69;2;(487) 1946479;Depósito;1961-03-11;2011-09-10
77;Jakie Chasles;57721 Forster Hill;15;22;(873) 7588849;Administración;1999-04-23;1991-10-26
78;Callie Tchaikovsky;39370 Claremont Street;31;26;(625) 9776916;Recepción;1983-02-04;1999-04-04
79;Normand Blaszczynski;66889 Fulton Alley;1;10;(459) 2100334;Atención al Cliente;1971-01-19;2022-11-09
80;Lilas Duckwith;8 Saint Paul Park;45;17;(614) 9693292;Ventas;1964-01-17;2015-09-11
81;Danya Mattusov;6663 Dapin Park;67;19;(329) 9269373;Ventas;1979-01-30;1997-03-27
82;Wittie Phinn;34 Farragut Way;61;2;(269) 6457485;Ventas;1976-09-02;2002-09-28
83;Dreddy Lightwing;7406 Buena Vista Drive;75;8;(500) 9887043;Caja;1981-10-31;2018-02-11
84;Stacee Uebel;5693 Novick Way;53;5;(593) 1203242;Caja;1974-08-24;1995-07-06
85;Isac Adds;05 Haas Court;54;15;(376) 2407585;Post Venta;1998-03-18;2000-11-18
86;Cleve Mokes;4 Northland Point;39;24;(571) 1315748;Maestranza;1979-03-05;2017-09-05
87;Kendell Salsbury;02 Manley Lane;39;2;(991) 7755497;Depósito;2001-11-12;1998-12-23
88;Brien Scouller;220 Reindahl Court;58;3;(372) 1602983;Administración;1982-12-31;2021-02-24
89;Aaron Lister;98 Harper Drive;65;12;(539) 7823935;Recepción;1960-08-07;1990-04-13
90;Ignatius Jennemann;20968 Crowley Park;54;16;(646) 7229521;Atención al Cliente;1987-06-23;1996-11-12
91;Alameda Caze;2968 Southridge Way;59;14;(427) 8979816;Ventas;2000-08-03;1995-04-12
92;Terrie Strong;7 Buhler Lane;26;12;(614) 9472231;Ventas;1990-05-09;1992-07-27
93;Roosevelt Bleacher;63 Crescent Oaks Terrace;42;2;(586) 5178598;Ventas;1999-06-13;2004-04-17
94;Carter Renne;93 Towne Pass;9;21;(438) 3994491;Caja;1961-04-14;2018-06-22
95;Rowen Gatheral;8641 Dunning Court;46;22;(548) 3461596;Caja;1954-06-28;2009-05-05
96;Hamish Milland;9 Toban Trail;88;26;(982) 1986060;Post Venta;1987-08-11;2005-04-17
97;Roberta Franke;6 Hudson Center;65;6;(113) 1965177;Jefe del Personal;1975-10-14;2010-08-20
98;Yolanda Cornilli;7 Blue Bill Park Drive;88;11;(931) 8726106;Gerente;1984-06-30;2017-08-14
99;Kyla Grishanov;09 Main Way;97;5;(956) 3476672;Gerente;1951-12-15;2012-02-27
100;Lem Svanetti;81201 Bay Place;29;16;(931) 5952455;Director;1958-02-23;2002-05-21
