id cliente;Cuit;nombre;domicilio;id localidad;id provincia;telefono;cumpleaños
170;20-07604784-5;Charis Osbourn;47 Granby Street;89;19;(364) 7380517;1967-08-03
171;20-58955516-7;Conroy O'Fielly;87595 Westridge Pass;77;12;(525) 6133076;1953-09-01
172;20-70296490-8;Freddy English;1 Erie Trail;37;25;(200) 4834231;1969-11-14
173;27-28657949-1;Lil Westmerland;24938 Tennyson Alley;75;5;(356) 4022783;1991-04-16
174;27-44878178-5;Pauletta Pala;6350 Doe Crossing Street;13;2;(208) 6387153;1956-08-30
175;27-26555590-5;Sonnnie Union;9 Ramsey Street;49;7;(425) 7397849;1948-01-12
176;20-97190555-2;Stacey Purseglove;902 Lukken Road;85;23;(479) 5566869;1963-08-28
177;27-12441908-7;Julieta Lezemore;576 Dexter Parkway;26;13;(241) 3645261;1959-02-11
178;20-64745894-6;Son Fisk;5 Sage Street;81;17;(518) 6927465;1966-01-07
179;20-46555549-2;Brien Snawden;07496 Holmberg Crossing;43;2;(445) 5788308;1989-05-30
180;20-90081216-5;Lyndsay Sculpher;88 Basil Alley;26;11;(255) 8543930;1996-08-09
181;27-00571544-0;Kingsly Pharoah;744 Bartillon Street;64;9;(268) 2090099;2004-11-12
182;27-05912586-0;Alphonso Sandison;429 Lawn Way;89;16;(582) 6608269;2004-06-07
183;27-06105997-2;Deeann Tiplady;345 Chinook Point;87;3;(583) 6814392;1987-03-22
184;20-52625895-2;Flem Danes;4 Mosinee Circle;54;19;(675) 7051272;1997-06-23
185;20-80035905-5;Doria Swyne;19629 Leroy Junction;79;4;(290) 9688984;1983-01-23
186;27-60045857-6;Norene Brognot;97 Cardinal Plaza;70;15;(397) 7548637;1943-09-17
187;20-48765891-2;Beniamino Devoy;83839 Sage Court;1;18;(900) 3607549;1946-01-19
188;27-75574617-5;Ilene Hefforde;96 Florence Alley;84;11;(988) 3333491;1977-10-27
189;20-66787519-2;Estele Bulled;0988 Sycamore Place;98;21;(738) 1443042;1988-01-27
190;27-99097607-2;Silva Trotter;8063 Elka Crossing;78;4;(891) 8851691;1970-08-30
191;27-64055491-6;Karilynn McWaters;7 Logan Road;84;26;(941) 5526639;1985-03-08
192;20-68414925-0;Dasi Rosenqvist;22706 Mayer Lane;22;2;(842) 7755184;1950-04-08
193;20-95421744-8;Matthaeus Bodega;70534 South Plaza;7;17;(680) 3388594;1982-04-08
194;20-65630578-1;Tory Tomblings;6055 Pine View Trail;66;5;(676) 9637305;1952-10-23
195;27-91415905-8;Stevy Flanagan;53040 Surrey Place;8;5;(718) 5109341;1990-09-20
196;20-52567919-2;Luci Leicester;24904 Rockefeller Crossing;34;18;(155) 6994828;1954-06-07
197;20-62675891-0;Germayne Antoszewski;5 Huxley Junction;5;5;(786) 4120377;1943-12-11
198;27-04757611-2;Christie Calles;753 Shoshone Court;16;5;(695) 8602330;1943-06-23
199;20-12545878-9;Amalia Dunmuir;8 Ruskin Parkway;61;10;(968) 7025466;1988-02-21
200;27-98795452-1;Orelle Haselhurst;4995 Darwin Avenue;53;18;(277) 7108956;1977-09-06
